S-parameter
"Frequency"[Hz]	"S-parameter = S1,1 [dB]"	"S-parameter = S2,1 [dB]"	
3.85000000E+09	-3.36429124E-01	-2.89559315E+01	
3.89400000E+09	-3.60707109E-01	-2.86152397E+01	
3.93800000E+09	-3.87346034E-01	-2.83058943E+01	
3.98200000E+09	-4.16756591E-01	-2.80236759E+01	
4.02600000E+09	-4.49576032E-01	-2.77643539E+01	
4.07000000E+09	-4.86585414E-01	-2.75260150E+01	
4.11400000E+09	-5.28318882E-01	-2.73038617E+01	
4.15800000E+09	-5.77618523E-01	-2.70900747E+01	
4.20200000E+09	-6.34665848E-01	-2.68828248E+01	
4.24600000E+09	-7.00790051E-01	-2.66795735E+01	
4.29000000E+09	-7.83348857E-01	-2.64751982E+01	
4.33400000E+09	-8.81950317E-01	-2.62692553E+01	
4.37800000E+09	-9.99922770E-01	-2.60537151E+01	
4.42200000E+09	-1.15355936E+00	-2.58528977E+01	
4.46600000E+09	-1.34738568E+00	-2.56526951E+01	
4.51000000E+09	-1.59638739E+00	-2.54596233E+01	
4.55400000E+09	-1.91601593E+00	-2.52894543E+01	
4.59800000E+09	-2.33482684E+00	-2.51631562E+01	
4.64200000E+09	-2.88972006E+00	-2.51116276E+01	
4.68600000E+09	-3.62901632E+00	-2.51795748E+01	
4.73000000E+09	-4.61998369E+00	-2.54053689E+01	
4.77400000E+09	-5.94967397E+00	-2.58619373E+01	
4.81800000E+09	-7.73112939E+00	-2.66106603E+01	
4.86200000E+09	-1.01011945E+01	-2.77042166E+01	
4.90600000E+09	-1.31951184E+01	-2.91902469E+01	
4.95000000E+09	-1.65421923E+01	-3.10275466E+01	
4.99400000E+09	-1.77064129E+01	-3.31878087E+01	
5.03800000E+09	-1.58321274E+01	-3.56056772E+01	
5.08200000E+09	-1.36867883E+01	-3.82109067E+01	
5.12600000E+09	-1.21286776E+01	-4.09733714E+01	
5.17000000E+09	-1.11084283E+01	-4.39580007E+01	
5.21400000E+09	-1.05043431E+01	-4.74013516E+01	
5.25800000E+09	-1.02329524E+01	-5.18588346E+01	
5.30200000E+09	-1.02503561E+01	-5.78763392E+01	
5.34600000E+09	-1.05348585E+01	-5.61874052E+01	
5.39000000E+09	-1.10956967E+01	-5.02221588E+01	
5.43400000E+09	-1.19500666E+01	-4.59102214E+01	
5.47800000E+09	-1.31401060E+01	-4.25466539E+01	
5.52200000E+09	-1.47001796E+01	-3.97122695E+01	
5.56600000E+09	-1.65976418E+01	-3.72690389E+01	
5.61000000E+09	-1.83941553E+01	-3.51022694E+01	
5.65400000E+09	-1.89850470E+01	-3.31900295E+01	
5.69800000E+09	-1.78113161E+01	-3.15598607E+01	
5.74200000E+09	-1.59188405E+01	-3.01862370E+01	
5.78600000E+09	-1.41915797E+01	-2.90223862E+01	
5.83000000E+09	-1.28453147E+01	-2.80569763E+01	
5.87400000E+09	-1.18634377E+01	-2.72763903E+01	
5.91800000E+09	-1.12216550E+01	-2.66504594E+01	
5.96200000E+09	-1.08981003E+01	-2.61542548E+01	
6.00600000E+09	-1.08739003E+01	-2.57747341E+01	
6.05000000E+09	-1.12297848E+01	-2.54586452E+01	
