"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
2.42,0,-180,-23.1094231046422,-6.41824972733358
2.42,0,-179,-23.5383756636652,-6.33749362143534
2.42,0,-178,-24.0021144261813,-6.2623015927701
2.42,0,-177,-24.503906664145,-6.19262253456677
2.42,0,-176,-25.047287851251,-6.12840133806738
2.42,0,-175,-25.6359108451215,-6.06957914134414
2.42,0,-174,-26.2732069895434,-6.01609355964872
2.42,0,-173,-26.9616884069184,-5.96787889855603
2.42,0,-172,-27.7015777198501,-5.9248663510504
2.42,0,-171,-28.4882138303019,-5.88698417960347
2.42,0,-170,-29.3073662730861,-5.85415788420812
2.42,0,-169,-30.1274722657674,-5.82631035726215
2.42,0,-168,-30.8890253455622,-5.80336202613832
2.42,0,-167,-31.4965884327457,-5.78523098423353
2.42,0,-166,-31.8293873019834,-5.77183311125899
2.42,0,-165,-31.7876564329893,-5.76308218351554
2.42,0,-164,-31.3539798834032,-5.75888997489334
2.42,0,-163,-30.6058986723166,-5.75916634934321
2.42,0,-162,-29.6640557119115,-5.7638193455877
2.42,0,-161,-28.6353155052063,-5.77275525487352
2.42,0,-160,-27.5910265121431,-5.78587869261311
2.42,0,-159,-26.5710178970202,-5.80309266482122
2.42,0,-158,-25.5943770596611,-5.82429863032216
2.42,0,-157,-24.6683526061782,-5.8493965597835
2.42,0,-156,-23.7939909501648,-5.87828499272187
2.42,0,-155,-22.9693291387093,-5.91086109372342
2.42,0,-154,-22.1911043657366,-5.94702070922509
2.42,0,-153,-21.4556352331378,-5.98665842630835
2.42,0,-152,-20.7592576857196,-6.02966763506362
2.42,0,-151,-20.0985263061718,-6.07594059618601
2.42,0,-150,-19.4702940421977,-6.12536851555801
2.42,0,-149,-18.8717304371397,-6.17784162765766
2.42,0,-148,-18.3003101019448,-6.23324928969583
2.42,0,-147,-17.7537880756886,-6.2914800884296
2.42,0,-146,-17.2301706790502,-6.35242196161278
2.42,0,-145,-16.7276861755805,-6.41596233602501
2.42,0,-144,-16.2447572737855,-6.48198828396183
2.42,0,-143,-15.7799763005957,-6.55038669996287
2.42,0,-142,-15.3320832566201,-6.62104449940071
2.42,0,-141,-14.8999466574592,-6.69384884034397
2.42,0,-140,-14.4825469275545,-6.76868736984133
2.42,0,-139,-14.0789620640924,-6.84544849544799
2.42,0,-138,-13.688355284901,-6.92402168243212
2.42,0,-137,-13.3099643924623,-7.00429777665709
2.42,0,-136,-12.9430926133845,-7.08616935264271
2.42,0,-135,-12.5871007022765,-7.16953108576877
2.42,0,-134,-12.2414001275983,-7.25428014700922
2.42,0,-133,-11.9054471831937,-7.34031661798467
2.42,0,-132,-11.5787378923108,-7.42754392351117
2.42,0,-131,-11.260803590926,-7.51586927821888
2.42,0,-130,-10.9512070943196,-7.60520414323504
2.42,0,-129,-10.6495393654053,-7.69546468839063
2.42,0,-128,-10.355416615621,-7.78657225493914
2.42,0,-127,-10.0684777795706,-7.87845381338991
2.42,0,-126,-9.78838231334401,-7.97104241077475
2.42,0,-125,-9.51480827380628,-8.06427760150354
2.42,0,-124,-9.24745064233839,-8.15810585593461
2.42,0,-123,-8.98601986173353,-8.25248094089923
2.42,0,-122,-8.73024055935042,-8.34736426668235
2.42,0,-121,-8.47985043333618,-8.4427251953724
2.42,0,-120,-8.23459928186378,-8.53854130604791
2.42,0,-119,-7.99424815797604,-8.63479861295512
2.42,0,-118,-7.75856863486501,-8.73149173363363
2.42,0,-117,-7.52734216831079,-8.82862400484413
2.42,0,-116,-7.30035954460592,-8.92620754511964
2.42,0,-115,-7.07742040365272,-9.02426326376959
2.42,0,-114,-6.85833282807494,-9.12282081718632
2.42,0,-113,-6.64291299016765,-9.22191851430543
2.42,0,-112,-6.43098484934863,-9.32160317402482
2.42,0,-111,-6.22237989349212,-9.42192993826774
2.42,0,-110,-6.01693691814639,-9.52296204515621
2.42,0,-109,-5.8145018381741,-9.62477056742652
2.42,0,-108,-5.61492752682634,-9.72743412175314
2.42,0,-107,-5.41807367768009,-9.83103855504188
2.42,0,-106,-5.22380668524552,-9.9356766140075
2.42,0,-105,-5.03199954039319,-10.0414476044641
2.42,0,-104,-4.8425317370711,-10.1484570467397
2.42,0,-103,-4.65528918708154,-10.2568163334884
2.42,0,-102,-4.47016413997616,-10.3666423959316
2.42,0,-101,-4.28705510540586,-10.4780573842311
2.42,0,-100,-4.10586677553424,-10.5911883673002
2.42,0,-99,-3.92650994539209,-10.7061670569167
2.42,0,-98,-3.74890142931509,-10.8231295605326
2.42,0,-97,-3.57296397186977,-10.9422161666954
2.42,0,-96,-3.39862615193273,-11.0635711665299
2.42,0,-95,-3.22582227884396,-11.1873427142866
2.42,0,-94,-3.05449227980774,-11.3136827295565
2.42,0,-93,-2.88458157795882,-11.4427468433976
2.42,0,-92,-2.71604096075024,-11.5746943903182
2.42,0,-91,-2.5488264385463,-11.7096884478219
2.42,0,-90,-2.38289909352019,-11.8478959250449
2.42,0,-89,-2.21822491915873,-11.9894877019026
2.42,0,-88,-2.05477465086338,-12.1346388201088
2.42,0,-87,-1.89252358830686,-12.2835287274342
2.42,0,-86,-1.73145141035666,-12.4363415766172
2.42,0,-85,-1.57154198350883,-12.5932665804282
2.42,0,-84,-1.41278316488745,-12.7544984244989
2.42,0,-83,-1.25516660095595,-12.9202377396463
2.42,0,-82,-1.09868752315625,-13.0906916355341
2.42,0,-81,-0.943344541739972,-13.2660742975878
2.42,0,-80,-0.789139439083636,-13.446607649094
2.42,0,-79,-0.636076963786671,-13.6325220803238
2.42,0,-78,-0.48416462683874,-13.8240572462792
2.42,0,-77,-0.333412501111459,-14.0214629342053
2.42,0,-76,-0.183833025381483,-14.225000001246
2.42,0,-75,-0.0354408140269454,-14.4349413814468
2.42,0,-74,0.111747526539638,-14.6515731595505
2.42,0,-73,0.257713573731177,-14.8751957064949
2.42,0,-72,0.402437256071243,-15.1061248679074
2.42,0,-71,0.545897011150427,-15.3446931918155
2.42,0,-70,0.688069933620703,-15.5912511747008
2.42,0,-69,0.828931912721757,-15.8461684951923
2.42,0,-68,0.968457758964688,-16.1098351910775
2.42,0,-67,1.10662131973284,-16.3826627165008
2.42,0,-66,1.24339558369412,-16.6650847902426
