"Theta [deg]","dB(GainLHCP) [] - Freq='2.32GHz' Phi='0deg'","dB(GainLHCP) [] - Freq='2.32GHz' Phi='90deg'","dB(GainRHCP) [] - Freq='2.32GHz' Phi='0deg'","dB(GainRHCP) [] - Freq='2.32GHz' Phi='90deg'"
-180,-23.2942620844129,-23.2942620844129,-5.17499324015445,-5.17499324015445
-179,-23.5757823302837,-23.1703656828066,-5.1383173626365,-5.17275463582991
-178,-23.8779694723782,-23.0310701700008,-5.10637362592246,-5.17468047181265
-177,-24.2014330936774,-22.8790644601493,-5.07911724007233,-5.18074177277384
-176,-24.5465369359081,-22.716722560276,-5.05650102514542,-5.19090370337657
-175,-24.9132374275911,-22.5460827832179,-5.03847543035193,-5.2051258097576
-174,-25.3008453682262,-22.3688483003408,-5.02498855679861,-5.22336227012425
-173,-25.7076798716476,-22.1864027720827,-5.0159861849285,-5.24556215406163
-172,-26.1305772023995,-21.9998356897474,-5.01141180780052,-5.27166969010256
-171,-26.5642176989399,-21.809973204331,-5.01120667138591,-5.30162454105785
-170,-27.0002549278096,-21.6174113440477,-5.01530982307397,-5.33536208653659
-169,-27.4262977975514,-21.4225494922698,-5.02365816957654,-5.37281371200849
-168,-27.8249453023771,-21.2256227605388,-5.03618654539892,-5.41390710367008
-167,-28.173330607233,-21.0267324488952,-5.05282779300076,-5.45856654827841
-166,-28.4439373607042,-20.8258741664094,-5.0735128557041,-5.50671323700794
-165,-28.6075407975866,-20.6229634262468,-5.09817088431483,-5.55826557227223
-164,-28.6385214260458,-20.4178586694382,-5.12672935830713,-5.61313947633213
-163,-28.521275761022,-20.2103817425549,-5.1591142222773,-5.6712487003895
-162,-28.254884852369,-20.0003358831436,-5.19525003820351,-5.73250513274152
-161,-27.8533951833842,-19.7875212731649,-5.23506015385053,-5.79681910444881
-160,-27.3415401449513,-19.5717482191424,-5.27846688743472,-5.86409969085305
-159,-26.7483652593002,-19.3528480177227,-5.32539172841561,-5.93425500717048
-158,-26.1016933985834,-19.1306815722177,-5.37575555400765,-6.0071924962891
-157,-25.4249091099499,-18.9051458415041,-5.42947886071281,-6.08281920681388
-156,-24.7359432195774,-18.6761782268685,-5.4864820098646,-6.16104205933897
-155,-24.0476290870698,-18.4437590326477,-5.54668548585243,-6.24176809888204
-154,-23.3686392252507,-18.2079121693713,-5.61001016536631,-6.32490473139793
-153,-22.7045110251303,-17.9687042996723,-5.67637759567352,-6.41035994229847
-152,-22.0585385121829,-17.7262426538194,-5.74571027961766,-6.49804249494653
-151,-21.4324675256424,-17.4806717603681,-5.81793196472464,-6.58786210716701
-150,-20.8270055851026,-17.2321693461714,-5.89296793351796,-6.67972960392709
-149,-20.2421822697938,-16.9809416580664,-5.97074529189635,-6.77355704448381
-148,-19.6775979376371,-16.7272184463406,-6.05119325221856,-6.86925782247877
-147,-19.1325925384641,-16.471247828902,-6.13424340758174,-6.96674673767744
-146,-18.6063586702692,-16.2132912269652,-6.21982999367885,-7.06594003830131
-145,-18.0980163218419,-15.9536185304097,-6.30789013458353,-7.16675543318398
-144,-17.6066615426905,-15.692503616214,-6.39836406884345,-7.26911207329211
-143,-17.1313974888861,-15.4302203087943,-6.49119535236888,-7.37293050248611
-142,-16.6713536210579,-15.1670388385546,-6.5863310347834,-7.478132577748
-141,-16.225696982947,-14.9032228258994,-6.68372180615814,-7.58464135946879
-140,-15.7936382245911,-14.6390267932764,-6.78332211137768,-7.69238097276074
-139,-15.3744341737986,-14.3746941879384,-6.88509022977754,-7.80127644113277
-138,-14.9673881754015,-14.1104558830676,-6.98898831814579,-7.91125349423558
-137,-14.5718490213648,-13.846529114418,-7.09498241568256,-8.0222383517395
-136,-14.1872090257056,-13.5831168032081,-7.20304241005187,-8.13415748574744
-135,-13.81290161532,-13.3204072130193,-7.31314196422698,-8.2469373644623
-134,-13.4483986834762,-13.0585738882668,-7.4252584044096,-8.36050418011818
-133,-13.0932078681628,-12.7977758237463,-7.53937256988189,-8.47478356444397
-132,-12.7468698599929,-12.5381578182278,-7.65546862621238,-8.58970029515284
-131,-12.408955805354,-12.279850969527,-7.77353384377166,-8.70517799714114
-130,-12.0790648441101,-12.0229732735024,-7.89355834400547,-8.82113884223185
-129,-11.7568218034171,-11.7676302946419,-8.01553481635397,-8.93750325141253
-128,-11.4418750573889,-11.5139158810456,-8.13945820908348,-9.0541896035948
-127,-11.1338945545635,-11.2619129014953,-8.26532539760698,-9.17111395496288
-126,-10.8325700101026,-11.0116939867817,-8.39313483410397,-9.28818977298378
-125,-10.537609256516,-10.7633222614716,-8.52288618240797,-9.40532768912352
-124,-10.2487367448313,-10.5168520557939,-8.65457994220968,-9.52243527425291
-123,-9.96569218712187,-10.2723295903074,-8.78821706662532,-9.63941684063523
-122,-9.68822933085152,-10.0297936284936,-8.92379857710896,-9.75617327426814
-121,-9.41611485542379,-9.78927609443998,-9.06132517954555,-9.87260190120343
-120,-9.14912738147977,-9.55080265437166,-9.20079688515693,-9.98859639129176
-119,-8.8870565837957,-9.31439326201762,-9.3422126395897,-10.1040467025957
-118,-8.6297023990201,-9.08006266869381,-9.48556996324148,-10.2188390694814
-117,-8.37687431992634,-8.84782089961641,-9.63086460552457,-10.3328560371348
-116,-8.12839076830822,-8.6176736983572,-9.77809021537325,-10.4459765449558
-115,-7.88407853910326,-8.38962294157323,-9.92723802987697,-10.5580760609496
