# Design frequency = 2.42 GHz
# THRU attenuation = 5.6 dB
# Frequency = 2.362 GHz
# Theta, S21[Phi=90], S21[Phi=0]
  0, -35.8, -36.1
 10, -35.8, -36.5
 20, -36.6, -37.2
 30, -37.2, -38.0
 40, -38.2, -39.0
 50, -39.0, -41.1
 60, -39.8, -42.1
 70, -41.0, -43.1
 80, -42.2, -43.8
 90, -43.2, -45.7
100, -45.8, -45.4
110, -46.0, -46.3
120, -48.0, -47.4
130, -48.6, -48.6
140, -50.3, -47.3
150, -49.7, -48.2
160, -47.9, -46.4
170, -45.9, -44.8
180, -44.8, -44.2
190, -43.5, -43.1
200, -43.0, -42.1
210, -43.1, -41.6
220, -43.5, -41.9
230, -43.4, -41.5
240, -43.1, -40.9
250, -42.3, -40.8
260, -41.8, -40.5
270, -41.7, -40.6
280, -40.9, -40.0
290, -40.1, -39.9
300, -39.2, -39.2
310, -38.2, -38.4
320, -37.4, -37.8
330, -36.5, -37.1
340, -35.7, -36.6
350, -35.6, -36.9
360, -35.5, -36.6
